aircraft collision avoidance,WOS:000412735100005
next generation airborne collision avoidance system x),WOS:000412735100005
formal verification,WOS:000412735100005
hybrid system,WOS:000412735100005
continuous dynamic,WOS:000412735100005
conflict resolution,WOS:000412735100005
verification,WOS:000412735100005
robocup ssl,WOS:000405513000001
hybrid automaton,WOS:000405513000001
event detection,WOS:000405513000001
game formalization,WOS:000405513000001
hybrid automaton,WOS:000405513000001
mechanical property,WOS:000411930000045
network,WOS:000411930000045
biomaterial,WOS:000411930000045
electronics,WOS:000411930000045
elasticity,WOS:000411930000045
copolymer,WOS:000411930000045
supersoft,WOS:000411930000045
polymer,WOS:000411930000045
rheology,WOS:000411930000045
design,WOS:000411930000045
thin polymer film,WOS:000410059200044
shape transformation,WOS:000410059200044
mismatch strain,WOS:000410059200044
deformation,WOS:000410059200044
range,WOS:000410059200044
allocation,WOS:000411010400009
wheel terrain interaction,WOS:000411167900015
online learning,WOS:000411167900015
skid steered robot,WOS:000411167900015
energy efficient planning,WOS:000411167900015
tracked vehicle,WOS:000411167900015
identification,WOS:000411167900015
dynamic voltage and frequency scaling,WOS:000408425400008
low power,WOS:000408425400008
machine learning,WOS:000408425400008
manycore system,WOS:000408425400008
voltage frequency island,WOS:000408425400008
network on chip,WOS:000408425400008
power management,WOS:000408425400008
wireless noc,WOS:000408425400008
design,WOS:000408425400008
geometric mechanic,WOS:000407970600033
nonholonomic motion planning,WOS:000407970600033
frictional slip,WOS:000407970600033
robotic locomotion,WOS:000407970600033
mechanical system,WOS:000407970600033
constraint,WOS:000407970600033
human acquisition,WOS:000408024600001
performance,WOS:000408024600001
knowledge,WOS:000408024600001
exploitation,WOS:000408024600001
exploration,WOS:000408024600001
perception,WOS:000408024600001
pattern,WOS:000408024600001
test,WOS:000408024600001
model,WOS:000408024600001
hard,WOS:000408024600001
3d wireless sensor network,WOS:000407399100004
mobility model,WOS:000407399100004
coverage,WOS:000407399100004
border effect,WOS:000407399100004
coverage,WOS:000407399100004
intelligent robot,WOS:000407475200035
grasping,WOS:000407475200035
prosthetics,WOS:000407475200035
soft robotics,WOS:000407475200035
capacitive sensor proximity effect,WOS:000407475200035
prosthesis control,WOS:000407475200035
design,WOS:000407475200035
electronics,WOS:000407475200035
skin,WOS:000407475200035
teamwork,WOS:000405512100003
collective intelligence,WOS:000405512100003
distributed problem solving,WOS:000405512100003
social choice theory,WOS:000405512100003
single and multiagent learning,WOS:000405512100003
situated agent,WOS:000405512100003
roc curve,WOS:000405512100003
classification,WOS:000405512100003
algorithm,WOS:000405512100003
framework,WOS:000405512100003
election,WOS:000405512100003
domain,WOS:000405512100003
game,WOS:000405512100003
area,WOS:000405512100003
go,WOS:000405512100003
dynamic decision making,WOS:000405498500001
cognitive model,WOS:000405498500001
reinforcement learning,WOS:000405498500001
instance based learning,WOS:000405498500001
decision from experience,WOS:000405498500001
computer simulated microworld,WOS:000405498500001
understanding stock,WOS:000405498500001
rational choice,WOS:000405498500001
complex system,WOS:000405498500001
time pressure,WOS:000405498500001
risky choice,WOS:000405498500001
fire chief,WOS:000405498500001
real time,WOS:000405498500001
experience,WOS:000405498500001
feedback,WOS:000405498500001
multi robot system,WOS:000404635100007
cybersecurity,WOS:000404635100007
sybil attack,WOS:000404635100007
wireless network,WOS:000404635100007
coordinated control,WOS:000404635100007
anechoic chamber,WOS:000404635100007
performance bound,WOS:000404635100007
attack,WOS:000404635100007
brain computer interface,WOS:000404635100008
shared control telerobotics,WOS:000404635100008
neuroprosthetics,WOS:000404635100008
assistive robotics,WOS:000404635100008
motion intention recognition,WOS:000404635100008
virtual fixture,WOS:000404635100008
shared control,WOS:000404635100008
arm,WOS:000404635100008
constraint,WOS:000404635100008
performance,WOS:000404635100008
vision,WOS:000404635100008
overlapping cell segmentation,WOS:000401398000005
convolutional neural network,WOS:000401398000005
feature learning,WOS:000401398000005
sparse approximation,WOS:000401398000005
level set evolution,WOS:000401398000005
robust face recognition,WOS:000401398000005
sparse representation,WOS:000401398000005
accurate segmentation,WOS:000401398000005
nucleus segmentation,WOS:000401398000005
microscopic image,WOS:000401398000005
cell nucleus,WOS:000401398000005
gvf snake,WOS:000401398000005
classification,WOS:000401398000005
algorithm,WOS:000401398000005
cytoplasm,WOS:000401398000005
dielectric elastomer,WOS:000405410700001
eutectic gallium indium,WOS:000405410700001
low melting point alloy,WOS:000405410700001
soft multifunctional material,WOS:000405410700001
stretchable electronics,WOS:000405410700001
