"aircraft collision avoidance","WOS:000412735100005","de"
"next-generation airborne collision avoidance system (acas x)","WOS:000412735100005","de"
"formal verification","WOS:000412735100005","de"
"hybrid system","WOS:000412735100005","de"
"continuous dynamics","WOS:000412735100005","de"
"conflict-resolution","WOS:000412735100005","id"
"verification","WOS:000412735100005","id"
"robocup ssl","WOS:000405513000001","de"
"hybrid automata","WOS:000405513000001","de"
"event detection","WOS:000405513000001","de"
"game formalization","WOS:000405513000001","de"
"hybrid automata","WOS:000405513000001","id"
"mechanical-property","WOS:000411930000045","id"
"network","WOS:000411930000045","id"
"biomaterial","WOS:000411930000045","id"
"electronics","WOS:000411930000045","id"
"elasticity","WOS:000411930000045","id"
"copolymer","WOS:000411930000045","id"
"supersoft","WOS:000411930000045","id"
"polymer","WOS:000411930000045","id"
"rheology","WOS:000411930000045","id"
"design","WOS:000411930000045","id"
"thin polymer-film","WOS:000410059200044","id"
"shape transformation","WOS:000410059200044","id"
"mismatch strain","WOS:000410059200044","id"
"deformation","WOS:000410059200044","id"
"range","WOS:000410059200044","id"
"allocation","WOS:000411010400009","id"
"wheel terrain interaction","WOS:000411167900015","de"
"online learning","WOS:000411167900015","de"
"skid-steered robot","WOS:000411167900015","de"
"energy efficient planning","WOS:000411167900015","de"
"tracked vehicle","WOS:000411167900015","id"
"identification","WOS:000411167900015","id"
"dynamic voltage and frequency scaling (dvfs)","WOS:000408425400008","de"
"low power","WOS:000408425400008","de"
"machine learning (ml)","WOS:000408425400008","de"
"manycore system","WOS:000408425400008","de"
"voltage-frequency islands (vfis)","WOS:000408425400008","de"
"networks-on-chip","WOS:000408425400008","id"
"power management","WOS:000408425400008","id"
"wireless noc","WOS:000408425400008","id"
"design","WOS:000408425400008","id"
"geometric mechanics","WOS:000407970600033","de"
"nonholonomic motion planning","WOS:000407970600033","de"
"frictional slip","WOS:000407970600033","de"
"robotic locomotion","WOS:000407970600033","de"
"mechanical system","WOS:000407970600033","id"
"constraint","WOS:000407970600033","id"
"human acquisition","WOS:000408024600001","id"
"performance","WOS:000408024600001","id"
"knowledge","WOS:000408024600001","id"
"exploitation","WOS:000408024600001","id"
"exploration","WOS:000408024600001","id"
"perception","WOS:000408024600001","id"
"pattern","WOS:000408024600001","id"
"test","WOS:000408024600001","id"
"model","WOS:000408024600001","id"
"hard","WOS:000408024600001","id"
"3d wireless sensor network","WOS:000407399100004","de"
"mobility model","WOS:000407399100004","de"
"coverage","WOS:000407399100004","de"
"border effect","WOS:000407399100004","de"
"coverage","WOS:000407399100004","de"
"intelligent robot","WOS:000407475200035","de"
"grasping","WOS:000407475200035","de"
"prosthetics","WOS:000407475200035","de"
"soft robotics","WOS:000407475200035","de"
"capacitive sensors proximity effect","WOS:000407475200035","de"
"prosthesis control","WOS:000407475200035","id"
"design","WOS:000407475200035","id"
"electronics","WOS:000407475200035","id"
"skin","WOS:000407475200035","id"
"teamwork","WOS:000405512100003","de"
"collective intelligence","WOS:000405512100003","de"
"distributed problem solving","WOS:000405512100003","de"
"social choice theory","WOS:000405512100003","de"
"single and multiagent learning","WOS:000405512100003","de"
"situated agent","WOS:000405512100003","id"
"roc curve","WOS:000405512100003","id"
"classification","WOS:000405512100003","id"
"algorithm","WOS:000405512100003","id"
"framework","WOS:000405512100003","id"
"election","WOS:000405512100003","id"
"domain","WOS:000405512100003","id"
"game","WOS:000405512100003","id"
"area","WOS:000405512100003","id"
"go","WOS:000405512100003","id"
"dynamic decision making","WOS:000405498500001","de"
"cognitive model","WOS:000405498500001","de"
"reinforcement learning","WOS:000405498500001","de"
"instance-based learning","WOS:000405498500001","de"
"decisions from experience","WOS:000405498500001","de"
"computer-simulated microworld","WOS:000405498500001","id"
"understanding stock","WOS:000405498500001","id"
"rational choice","WOS:000405498500001","id"
"complex-system","WOS:000405498500001","id"
"time-pressure","WOS:000405498500001","id"
"risky choice","WOS:000405498500001","id"
"fire-chief","WOS:000405498500001","id"
"real-time","WOS:000405498500001","id"
"experience","WOS:000405498500001","id"
"feedback","WOS:000405498500001","id"
"multi-robot system","WOS:000404635100007","de"
"cybersecurity","WOS:000404635100007","de"
"sybil attack","WOS:000404635100007","de"
"wireless network","WOS:000404635100007","de"
"coordinated control","WOS:000404635100007","de"
"anechoic chamber","WOS:000404635100007","de"
"performance bound","WOS:000404635100007","de"
"attack","WOS:000404635100007","id"
"brain computer interface","WOS:000404635100008","de"
"shared control telerobotics","WOS:000404635100008","de"
"neuroprosthetics","WOS:000404635100008","de"
"assistive robotics","WOS:000404635100008","de"
"motion intention recognition","WOS:000404635100008","id"
"virtual fixture","WOS:000404635100008","id"
"shared control","WOS:000404635100008","id"
"arm","WOS:000404635100008","id"
"constraint","WOS:000404635100008","id"
"performance","WOS:000404635100008","id"
"vision","WOS:000404635100008","id"
"overlapping cell segmentation","WOS:000401398000005","de"
"convolutional neural network","WOS:000401398000005","de"
"feature learning","WOS:000401398000005","de"
"sparse approximation","WOS:000401398000005","de"
"level set evolution","WOS:000401398000005","de"
"robust face recognition","WOS:000401398000005","id"
"sparse representation","WOS:000401398000005","id"
"accurate segmentation","WOS:000401398000005","id"
"nucleus segmentation","WOS:000401398000005","id"
"microscopic image","WOS:000401398000005","id"
"cell-nuclei","WOS:000401398000005","id"
"gvf snake","WOS:000401398000005","id"
"classification","WOS:000401398000005","id"
"algorithm","WOS:000401398000005","id"
"cytoplasm","WOS:000401398000005","id"
"dielectric elastomer","WOS:000405410700001","de"
"eutectic gallium-indium","WOS:000405410700001","de"
